id_cliente,idade,genero,renda_mensal,saldo_conta,score_credito,possui_cartao_credito,numero_transacoes_mes,media_valor_transacao,atrasos_pagamento,tipo_conta,usa_app_mobile,participa_programa_fidelidade,satisfacao_geral,churn
57,45,masculino,10467,6996,432,sim,10,796.61,0,salário,sim,sim,3,ativo
58,64,feminino,8248,12173,426,sim,43,384.76,3,corrente,sim,não,2,ativo
59,24,masculino,11317,4673,405,sim,46,300.18,2,corrente,não,sim,1,inativo
60,61,masculino,12761,15781,677,sim,62,485.36,2,salário,sim,sim,1,ativo
61,25,feminino,1917,13051,350,sim,16,116.58,2,corrente,sim,não,5,ativo
62,64,feminino,9806,6881,328,sim,7,771.25,4,investimento,não,sim,4,ativo
63,52,masculino,10308,6949,761,sim,22,526.22,1,corrente,sim,sim,5,ativo
64,31,feminino,5474,9521,595,não,44,616.13,3,investimento,sim,sim,5,ativo
65,34,masculino,4767,8017,596,sim,25,177.86,4,poupança,sim,sim,5,ativo
66,53,masculino,2325,6941,706,sim,19,357.11,3,poupança,sim,não,1,ativo
67,67,masculino,9168,10209,704,sim,30,367.02,3,poupança,sim,sim,1,ativo
68,57,masculino,7245,17715,645,sim,12,666.35,1,poupança,não,não,5,ativo
69,21,masculino,11208,9550,719,não,46,50.93,2,corrente,sim,não,1,inativo
70,19,feminino,12838,4637,481,não,48,275.64,1,salário,sim,sim,4,ativo
71,23,feminino,1912,4854,300,sim,18,785.93,4,corrente,sim,não,5,inativo
72,59,masculino,9043,19561,866,sim,6,406.16,4,investimento,não,sim,1,ativo
73,21,masculino,9087,10320,670,não,41,336.89,4,corrente,não,não,2,ativo
74,46,feminino,2228,18564,730,não,73,139.87,1,corrente,não,sim,5,ativo
75,35,feminino,13040,4892,608,sim,42,780.62,3,investimento,sim,não,5,ativo
76,43,masculino,8664,7043,436,sim,45,65.02,3,poupança,sim,sim,4,ativo
77,61,feminino,12500,16521,501,sim,66,602.89,0,poupança,sim,sim,3,ativo
78,51,masculino,10367,19856,735,não,64,626.45,4,poupança,sim,não,3,ativo
79,27,feminino,13157,19216,612,sim,18,232.74,3,salário,sim,não,4,inativo
80,53,masculino,7488,19963,416,não,6,553.67,0,investimento,sim,sim,4,ativo
81,31,feminino,4004,4164,874,sim,74,119.7,3,investimento,sim,sim,4,ativo
82,48,masculino,4467,7941,543,sim,21,242.79,4,corrente,sim,não,3,ativo
83,65,feminino,4286,14388,836,sim,32,640.93,2,salário,sim,não,4,ativo
84,32,feminino,2622,5569,374,sim,70,698.51,4,poupança,sim,não,1,ativo
85,25,masculino,5579,4300,685,sim,39,506.36,1,salário,sim,não,5,ativo
86,31,feminino,3071,6269,509,sim,9,430.13,3,investimento,sim,não,5,ativo
87,40,masculino,6573,3818,774,sim,69,169.48,3,investimento,sim,não,2,ativo
88,57,feminino,6604,12015,717,não,44,97.33,1,corrente,sim,sim,2,ativo
89,38,masculino,3643,12234,646,sim,60,138.24,1,corrente,sim,sim,5,ativo
90,33,feminino,11379,18290,828,sim,40,220.52,2,investimento,sim,não,1,inativo
91,62,masculino,8306,6254,478,não,49,306.26,3,poupança,sim,não,3,inativo
92,35,feminino,8857,17144,481,não,27,335.68,3,poupança,não,sim,3,ativo
93,64,masculino,13824,7350,324,não,51,309.74,2,salário,sim,sim,1,ativo
94,41,feminino,13543,15183,479,não,35,229.29,0,investimento,sim,não,3,ativo
95,43,masculino,4940,6238,800,sim,15,432.29,2,investimento,sim,sim,4,ativo
96,42,masculino,5266,6090,460,sim,14,668.96,4,poupança,sim,sim,5,ativo
97,62,masculino,7144,11637,476,não,71,259.78,3,poupança,sim,sim,5,ativo
98,58,feminino,12018,12647,584,sim,18,756.79,1,investimento,sim,sim,1,ativo
99,46,masculino,4414,9911,362,sim,78,705.0,4,corrente,não,sim,3,ativo
100,32,feminino,6468,8472,455,não,14,171.32,3,investimento,sim,sim,2,ativo
101,62,masculino,7417,18271,768,sim,5,639.71,2,investimento,não,sim,2,inativo
102,18,feminino,13644,3266,348,sim,9,480.94,4,poupança,sim,não,3,ativo
103,42,masculino,10287,666,383,sim,24,474.93,3,poupança,sim,sim,2,ativo
104,24,feminino,2228,4188,660,sim,12,343.28,0,corrente,não,não,1,inativo
105,26,feminino,2865,17055,447,sim,47,425.86,0,corrente,sim,não,1,inativo
106,41,masculino,5992,10161,641,sim,5,347.88,1,salário,sim,sim,3,ativo
107,18,feminino,2198,11314,775,não,61,454.8,3,investimento,sim,não,2,ativo
108,61,feminino,8686,12891,362,sim,68,520.96,0,poupança,sim,sim,1,ativo
109,25,masculino,1895,4777,659,sim,32,555.73,2,corrente,sim,não,1,inativo
110,41,feminino,8900,3900,860,não,41,449.36,3,salário,sim,sim,4,inativo
111,28,feminino,9582,13716,626,não,51,591.07,2,salário,sim,não,4,ativo
112,68,feminino,5671,6981,440,não,41,155.96,2,poupança,sim,não,1,ativo
113,34,masculino,5860,6376,514,não,53,208.99,0,poupança,sim,sim,3,ativo
114,25,feminino,4002,16907,734,sim,48,664.05,3,salário,sim,sim,5,ativo
115,52,masculino,11511,18777,617,sim,60,291.9,4,corrente,sim,não,5,ativo
116,52,feminino,2217,18977,331,sim,32,67.17,0,salário,sim,não,1,inativo
117,50,feminino,4282,10160,584,sim,10,165.34,0,investimento,sim,sim,1,ativo
118,22,feminino,6446,14124,604,sim,65,217.71,3,investimento,sim,não,1,inativo
119,59,masculino,13269,16282,728,sim,24,767.99,3,poupança,não,sim,3,inativo
120,56,feminino,6986,10488,776,não,6,479.78,2,corrente,sim,não,4,ativo
121,58,feminino,9835,5240,585,sim,77,749.55,3,corrente,sim,sim,1,ativo
122,45,masculino,6480,10453,443,sim,41,481.37,2,investimento,sim,não,1,ativo
123,24,feminino,12832,10478,723,sim,24,409.52,0,salário,sim,sim,2,ativo
124,26,masculino,8766,12394,318,sim,30,285.3,1,poupança,sim,sim,3,ativo
125,25,masculino,5991,19262,317,sim,33,504.78,4,salário,sim,sim,1,ativo
126,29,feminino,8692,4432,889,não,5,154.4,0,salário,sim,sim,2,ativo
127,51,masculino,12630,13568,670,sim,39,723.7,3,salário,sim,sim,5,ativo
128,50,feminino,7088,14178,474,sim,74,672.0,4,corrente,não,sim,1,ativo
129,65,masculino,9151,17660,493,sim,63,288.15,1,investimento,não,não,1,ativo
130,40,masculino,5136,302,801,não,73,764.6,1,corrente,não,sim,2,ativo
131,41,feminino,12914,17022,412,sim,37,668.9,2,investimento,sim,sim,3,ativo
132,54,masculino,2667,55,413,sim,55,549.73,4,poupança,sim,sim,1,ativo
133,52,masculino,12308,13013,521,sim,16,141.32,2,poupança,sim,sim,5,ativo
134,61,masculino,2562,8717,563,sim,24,408.68,0,salário,sim,sim,1,ativo
135,57,masculino,3656,8150,354,não,57,429.58,4,investimento,sim,sim,5,ativo
136,39,masculino,9360,2125,757,não,47,224.41,0,investimento,sim,sim,4,ativo
137,44,feminino,6661,11479,461,sim,54,109.97,2,investimento,sim,sim,4,ativo
138,52,masculino,6805,15745,679,não,33,632.54,4,salário,sim,sim,5,inativo
139,18,feminino,12674,16748,386,não,61,141.53,2,salário,sim,sim,3,ativo
140,52,masculino,8041,6809,354,não,43,495.72,4,poupança,sim,sim,1,ativo
141,54,feminino,12986,4621,775,não,60,752.34,2,corrente,sim,sim,1,ativo
142,64,feminino,6229,15034,477,sim,47,707.08,1,investimento,não,não,4,ativo
143,31,masculino,10848,13623,690,sim,54,258.31,2,investimento,sim,sim,5,ativo
144,20,masculino,8830,5126,648,sim,27,688.59,1,corrente,sim,não,1,ativo
145,18,masculino,6834,5122,307,não,48,50.25,2,investimento,sim,sim,1,ativo
146,22,feminino,10424,18030,612,sim,42,63.27,4,salário,sim,não,3,ativo
147,43,masculino,5830,17302,742,não,27,501.91,4,salário,sim,não,2,ativo
148,31,feminino,9510,19181,627,não,49,323.6,4,investimento,sim,sim,4,ativo
149,56,feminino,8301,5870,353,sim,56,339.85,3,salário,sim,não,4,ativo
150,44,feminino,6346,1531,538,não,54,473.33,0,salário,sim,sim,2,inativo
151,26,masculino,8231,8172,528,sim,12,193.84,4,investimento,sim,sim,1,ativo
152,32,masculino,8741,19729,878,sim,5,208.82,1,poupança,sim,não,3,ativo
153,32,feminino,2453,7673,350,não,12,413.45,4,corrente,sim,não,3,ativo
154,43,feminino,4039,6882,563,sim,33,615.69,3,salário,sim,sim,4,ativo
155,59,masculino,8556,1906,717,não,9,514.62,1,poupança,sim,sim,3,ativo
156,30,feminino,13016,3086,395,não,51,273.02,3,salário,não,sim,2,ativo
157,68,masculino,12993,13503,387,sim,38,372.75,1,salário,sim,sim,1,ativo
158,49,feminino,3042,8152,377,sim,69,178.0,2,corrente,sim,não,2,ativo
159,56,masculino,6793,5750,587,sim,59,105.97,0,salário,sim,sim,5,ativo
160,66,feminino,2691,12772,419,sim,47,637.02,0,corrente,sim,sim,4,ativo
161,69,masculino,7813,10267,790,não,78,249.04,3,corrente,sim,sim,3,inativo
162,49,feminino,12685,1062,751,sim,34,183.32,0,corrente,sim,sim,5,ativo
163,21,masculino,8438,18360,799,sim,21,568.71,3,poupança,não,sim,3,ativo
164,47,masculino,4181,17680,464,sim,30,513.54,3,investimento,sim,não,1,ativo
165,54,feminino,10909,6229,481,sim,12,524.89,3,poupança,sim,não,1,ativo
166,40,feminino,3040,16509,768,não,51,221.67,0,investimento,sim,não,1,ativo
167,56,masculino,7672,15147,306,sim,76,224.48,3,investimento,sim,sim,3,ativo
168,62,feminino,12928,4632,629,não,50,215.6,0,corrente,sim,não,5,ativo
169,32,masculino,7041,6288,450,sim,72,180.31,3,salário,sim,não,1,ativo
170,60,feminino,12078,3596,384,não,37,541.79,4,corrente,sim,não,5,ativo
171,46,masculino,13411,11475,446,sim,5,686.01,3,salário,sim,sim,3,ativo
172,53,masculino,11080,6168,680,sim,23,593.24,1,investimento,sim,sim,5,inativo
173,30,masculino,11548,9795,847,não,35,644.07,3,corrente,não,sim,3,ativo
174,49,masculino,2865,7561,584,sim,18,353.6,2,salário,sim,sim,3,ativo
175,24,masculino,10191,8258,381,não,57,540.56,3,poupança,não,sim,4,ativo
176,68,masculino,11372,16616,813,sim,52,315.68,1,salário,sim,sim,3,ativo
177,39,feminino,10202,6371,822,sim,73,444.13,1,corrente,não,sim,3,ativo
178,45,feminino,8994,14369,685,sim,66,411.23,0,poupança,sim,não,2,ativo
179,19,feminino,5812,12910,770,não,70,182.67,4,salário,não,sim,1,ativo
180,59,masculino,2824,7943,418,sim,68,340.31,3,salário,não,sim,4,ativo
181,62,masculino,10847,12199,695,sim,74,772.87,0,salário,sim,não,4,ativo
182,23,masculino,11519,15728,831,sim,67,236.44,4,salário,não,não,4,ativo
183,45,masculino,4641,6738,560,sim,77,150.35,3,salário,sim,não,2,ativo
184,45,feminino,8919,15913,555,sim,37,363.94,2,poupança,sim,não,3,ativo
185,61,feminino,4986,2472,525,não,45,642.75,3,investimento,sim,sim,1,ativo
186,61,masculino,3310,19123,352,não,52,486.61,1,poupança,sim,não,5,ativo
187,37,feminino,8088,15679,799,não,17,560.73,1,poupança,sim,sim,3,inativo
188,47,feminino,4423,1761,805,não,77,192.27,2,poupança,sim,sim,2,inativo
189,28,masculino,6801,10167,663,sim,35,514.21,0,investimento,sim,sim,3,inativo
190,45,feminino,11906,10554,579,não,79,292.63,4,corrente,sim,sim,3,ativo
191,42,masculino,5686,17260,892,sim,72,675.73,3,investimento,não,sim,2,ativo
192,56,feminino,10405,14277,457,sim,8,521.97,1,poupança,sim,não,4,ativo
193,50,masculino,7477,3812,358,sim,23,199.14,0,salário,sim,não,4,ativo
194,18,masculino,13294,17844,427,sim,74,98.46,2,salário,sim,sim,1,ativo
195,44,masculino,13826,18117,414,não,17,81.97,1,poupança,sim,sim,1,inativo
196,69,masculino,13214,1605,508,sim,27,328.56,2,salário,sim,não,4,inativo
197,30,feminino,5768,5622,825,sim,79,249.39,3,poupança,sim,não,5,ativo
198,58,masculino,6248,6767,820,sim,5,534.57,4,salário,sim,sim,3,ativo
199,20,masculino,6349,11613,851,não,58,424.5,1,investimento,não,não,5,ativo
200,56,masculino,10935,19901,536,sim,75,249.51,1,corrente,sim,sim,3,inativo
201,23,feminino,5209,10589,580,sim,19,161.93,3,corrente,sim,sim,4,inativo
202,25,masculino,10773,13918,658,sim,69,145.4,0,investimento,sim,não,1,ativo
203,44,feminino,8119,13046,500,não,75,698.5,4,investimento,sim,sim,1,ativo
204,26,masculino,10147,2590,577,sim,19,232.61,1,poupança,sim,sim,5,inativo
205,54,feminino,14616,17447,534,sim,25,538.78,4,poupança,sim,não,1,ativo
206,50,feminino,10586,4324,793,sim,23,658.01,1,poupança,sim,não,4,ativo
207,68,masculino,11076,10787,303,sim,64,510.56,4,salário,sim,sim,5,inativo
208,59,feminino,11650,9111,741,sim,37,694.67,2,poupança,não,sim,3,ativo
209,61,masculino,4572,5342,328,sim,53,344.3,1,investimento,não,sim,1,ativo
210,41,masculino,8030,16389,408,não,39,767.17,4,corrente,sim,não,2,ativo
211,32,masculino,11688,8659,374,sim,48,149.86,0,salário,sim,sim,1,ativo
212,49,feminino,13977,14043,445,sim,15,126.61,2,poupança,sim,sim,3,inativo
213,49,feminino,2004,8837,427,não,76,544.02,2,salário,sim,não,5,ativo
214,41,masculino,2714,117,341,sim,78,757.12,0,salário,sim,sim,3,inativo
215,58,masculino,3031,13917,655,sim,70,656.66,4,poupança,sim,sim,2,ativo
216,69,feminino,13132,18935,340,sim,50,107.31,3,salário,sim,sim,4,ativo
217,66,masculino,9076,14309,333,sim,13,259.53,0,corrente,sim,não,1,ativo
218,66,masculino,2323,13234,316,não,7,747.74,4,investimento,sim,sim,5,ativo
219,69,masculino,2428,5560,452,sim,30,239.79,0,investimento,não,sim,4,ativo
220,29,feminino,6529,846,677,não,76,635.88,0,corrente,não,não,3,ativo
221,56,feminino,14928,10954,887,sim,52,668.85,1,salário,sim,sim,5,ativo
222,19,feminino,1633,13703,898,sim,70,421.59,4,poupança,sim,sim,4,ativo
223,20,masculino,3605,15385,641,sim,74,339.76,3,salário,não,sim,5,ativo
224,66,masculino,5127,13746,326,sim,32,387.59,1,corrente,sim,sim,2,ativo
225,54,masculino,14472,6469,586,sim,30,220.22,0,salário,sim,sim,2,ativo
226,66,feminino,7816,9333,467,não,29,717.04,0,investimento,sim,sim,1,ativo
227,34,masculino,3352,16608,567,sim,16,387.96,0,salário,sim,sim,1,ativo
228,66,masculino,6410,12819,754,não,9,711.84,4,corrente,sim,sim,2,ativo
229,19,masculino,14960,4208,700,sim,52,129.27,4,investimento,não,não,5,ativo
230,19,masculino,5675,6283,775,não,41,791.21,1,salário,não,não,2,ativo
231,45,feminino,12625,2048,857,não,48,382.45,3,salário,sim,não,1,inativo
232,40,feminino,12976,6233,875,não,19,85.87,1,investimento,sim,não,2,ativo
233,54,masculino,13990,12941,429,não,47,78.52,2,poupança,não,sim,2,ativo
234,49,feminino,12503,12607,662,não,52,609.66,0,investimento,sim,não,5,ativo
235,50,feminino,6848,9765,591,sim,74,544.28,0,poupança,não,sim,4,ativo
236,18,masculino,10942,1828,670,sim,50,651.6,0,corrente,sim,não,1,ativo
237,36,masculino,13204,1917,328,sim,47,129.03,1,corrente,sim,não,5,ativo
238,19,feminino,7690,6988,448,não,25,76.68,1,investimento,sim,não,2,ativo
239,61,masculino,2756,18410,595,sim,27,431.43,0,investimento,sim,não,2,inativo
240,43,feminino,4876,14594,310,não,51,340.7,1,corrente,sim,sim,4,ativo
241,49,masculino,7145,12977,811,sim,19,396.46,4,poupança,sim,sim,1,ativo
242,23,feminino,14954,9,412,sim,29,793.69,4,corrente,sim,sim,1,ativo
243,49,masculino,4986,16644,486,sim,40,778.06,1,investimento,sim,sim,3,ativo
244,21,feminino,5084,9865,526,sim,79,756.74,0,corrente,sim,sim,1,ativo
245,28,feminino,11088,2219,609,sim,55,637.88,1,investimento,não,não,4,ativo
246,34,feminino,13329,7041,397,sim,19,316.13,1,investimento,não,não,3,ativo
247,55,masculino,9553,18444,354,sim,72,359.1,1,corrente,sim,sim,3,inativo
248,41,feminino,4830,5287,705,sim,25,462.21,2,poupança,não,não,2,ativo
249,22,feminino,4203,1619,368,sim,17,672.9,4,salário,sim,não,2,inativo
250,69,masculino,10162,8512,611,sim,23,101.53,3,corrente,sim,não,1,ativo
251,51,masculino,9620,1342,588,não,38,368.22,3,salário,não,não,3,ativo
252,23,feminino,8614,10568,847,sim,72,111.96,2,corrente,sim,sim,2,ativo
253,39,feminino,14823,19216,447,sim,56,435.99,1,salário,sim,não,4,inativo
254,28,masculino,2853,19208,766,sim,31,724.18,2,poupança,não,não,2,ativo
255,65,masculino,12475,18378,543,sim,33,636.86,2,poupança,sim,sim,2,ativo
256,33,masculino,12523,14231,790,sim,32,220.88,0,corrente,não,sim,3,ativo
257,50,masculino,6563,3490,806,sim,39,781.99,4,investimento,não,não,3,ativo
258,26,masculino,10049,9310,664,sim,12,550.51,3,salário,sim,sim,5,ativo
259,23,feminino,12711,7984,781,sim,20,57.82,1,investimento,não,não,4,ativo
260,33,masculino,9075,17988,500,sim,40,241.56,3,investimento,sim,não,3,ativo
261,46,feminino,2167,12219,453,não,34,245.53,3,investimento,sim,sim,1,ativo
262,20,feminino,5968,235,749,não,22,101.94,4,poupança,sim,sim,4,ativo
263,37,feminino,14819,10161,800,sim,6,769.87,3,corrente,não,não,4,ativo
264,53,masculino,10837,1908,372,sim,53,408.69,3,corrente,sim,sim,3,ativo
265,36,feminino,8319,8567,595,sim,8,721.86,2,poupança,sim,sim,4,inativo
266,43,feminino,13877,3530,316,sim,79,291.66,4,poupança,sim,sim,3,ativo
267,20,masculino,5219,5256,516,não,11,143.93,0,corrente,sim,sim,2,ativo
268,36,feminino,4245,19019,360,sim,78,405.75,1,investimento,sim,não,5,ativo
269,37,feminino,8983,8162,341,sim,43,135.47,3,salário,sim,sim,2,ativo
270,49,masculino,2039,18944,324,sim,17,414.51,1,salário,sim,não,3,ativo
271,24,feminino,12471,5415,338,não,35,740.22,0,salário,sim,sim,3,inativo
272,69,feminino,6464,3391,430,sim,75,440.58,1,investimento,não,sim,2,ativo
273,58,feminino,13828,11157,797,sim,67,512.37,0,corrente,sim,não,1,ativo
274,50,masculino,6335,5951,528,sim,60,167.48,2,poupança,sim,não,1,ativo
275,57,masculino,5275,8007,407,sim,46,82.8,3,corrente,não,sim,1,ativo
276,56,masculino,7542,9064,471,sim,65,133.11,0,investimento,sim,sim,3,ativo
277,35,feminino,8602,15524,734,sim,46,498.9,1,poupança,não,sim,4,inativo
278,57,feminino,8812,19282,777,sim,60,121.26,3,investimento,sim,sim,3,ativo
279,18,masculino,6820,77,401,sim,40,331.99,2,salário,não,não,4,ativo
280,28,feminino,14716,7577,823,sim,72,462.57,3,salário,sim,sim,2,ativo
281,45,feminino,7632,16984,574,sim,11,341.49,0,investimento,sim,sim,5,ativo
282,42,masculino,9391,14060,343,sim,58,172.76,2,poupança,sim,sim,4,ativo
283,67,masculino,12200,17449,316,sim,5,255.34,1,poupança,não,não,1,ativo
284,40,feminino,4279,18520,629,não,48,746.24,2,corrente,sim,não,3,ativo
285,48,feminino,2424,10535,868,sim,49,556.99,2,salário,sim,sim,2,ativo
286,47,feminino,12648,9510,796,sim,51,422.04,4,corrente,sim,não,1,ativo
287,59,masculino,3081,6943,311,sim,17,59.54,2,corrente,sim,sim,2,inativo
288,52,masculino,9214,11954,617,sim,26,794.31,2,investimento,sim,sim,5,ativo
289,24,masculino,4824,7804,891,não,25,553.59,3,investimento,sim,não,3,ativo
290,33,masculino,14177,6565,515,sim,13,287.69,1,corrente,não,não,3,ativo
291,43,feminino,7213,5984,638,não,30,709.45,3,salário,sim,não,5,ativo
292,65,masculino,8526,4670,380,sim,13,243.82,3,investimento,sim,sim,3,ativo
293,69,masculino,1755,18574,784,sim,19,458.01,0,corrente,sim,sim,4,ativo
294,66,masculino,6304,9184,673,não,14,527.05,3,corrente,sim,não,2,ativo
295,19,masculino,3338,19096,499,não,46,215.8,4,corrente,sim,sim,1,ativo
296,18,masculino,11636,2192,836,não,76,783.8,4,corrente,sim,sim,5,ativo
297,65,feminino,1509,1248,765,não,28,611.14,0,corrente,sim,sim,4,ativo
298,29,feminino,4371,11246,388,sim,53,468.36,1,corrente,sim,não,1,inativo
299,22,masculino,10489,12790,567,não,30,185.45,1,investimento,sim,sim,1,ativo
300,54,feminino,8909,18381,870,sim,41,90.39,3,salário,não,sim,5,ativo
